Donostia;;(medias diarias);;;;;;;;;;;;;;;;;;;;;
2019;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae;TOTAL;Alternaria;
1   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;1;
2   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
3   Ene.;;0;0;0;0;0;;0;0;;0;;0;2;0;;0;;0;0;0;;0;;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;3;0;
4   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;1;0;
5   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
6   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;1;0;
7   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
8   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
9   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;
10 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
11 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
12 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
13 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
14 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;
15 Ene.;;0;0;0;0;0;;0;0;;0;;0;7;7;;0;;0;0;0;;0;;;0;1;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;17;0;
16 Ene.;;0;0;0;0;0;;0;0;;0;;0;6;4;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;11;0;
17 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
